ID,appellation,alternativeNames,gender,verbaleDating,wikidata_id,gnd_id,occupation,resource_urls
87f819f7-aab1-4409-b99c-eb04dbb82818,"Dietterlin, Wendel",,MALE,,Q314147,11852559X,painter;template provider,
9370ae61-9b6e-47be-9ad7-666aaee550de,"Sadeler, Johann",,MALE,,Q3161745,121978788,template provider,
ad5262f4-b27d-4e86-af82-f25b6158f334,"Bry, Theodor de",,MALE,,Q708961,118516418,template provider,
3ac774b6-d9ea-4728-a100-5cfd6bfbb788,"Bruyn, Nicolaes de",,MALE,,Q7029366,10006096X,template provider,
d907b852-6374-46f9-b167-f41366aa4c8d,"Goltzius, Hendrick",,MALE,,Q165367,118540610,template provider,
d7741aac-a759-42cd-826f-0fb10f23d7d2,"Collaert, Adriaen",,MALE,,Q2825010,128576847,template provider,
c0eeb714-bda2-43b2-a455-34c59cb231f7,"Bloemaert, Abraham",,MALE,,Q329811,118910906,template provider,
b01a58c1-5df1-4168-8bb1-5d97020b371b,"Matham, Jacob",,MALE,,Q577044,122093798,template provider,
a91f181c-3297-467e-a1d2-eb02ea58ef44,"Viani, Antonio Maria",Viviani,MALE,,Q3619845,119554348,painter;template provider,
96d366f5-e4b3-4e2e-9121-34d22a48b544,"Sadeler, Aegidius II.","Sadeler, Egidius, der Jüngere",MALE,,Q1297898,118064657,template provider,
6dd525e0-2d1b-47d6-8c60-ca9b2fcf94e3,"Spranger, Bartholomäus",,MALE,,Q447682,118826085,template provider,
6687959b-beac-496a-bfa8-3cba1faa8759,"Candid, Peter","Witte, Pieter de",MALE,,Q315803,118518771,painter;template provider,
439baa64-496d-4acc-aef2-598d3df03f27,"Passe, Crispyn de, Der Ältere",,MALE,,Q140096,174255667,originator;template provider,
a25ff1d2-3c8d-4d06-a26b-97d0e022bfdb,"Sadeler, Raphael",,MALE,,Q18292675,120977354,template provider,
a51156d6-aefd-466c-853d-84ca920d748d,"Ludwig Günther II., Schwarzburg-Rudolstadt, Fürst",,MALE,,Q73343,10418342X,commissioner,
405ab2ef-2ed0-4536-90c0-3287cee60a22,"Rousseau, Johann Jakob",,MALE,,Q6527,188467718,architect;construction manager,
26e9bca1-b448-4439-b865-82517dfa50f0,"Vogel, Johann Christian",,MALE,,,,painter,
14903639-37bb-4959-867e-4d33560d5055,"Müller, Tobias",,MALE,,,,plasterer,
b11005d8-57bc-472f-95e6-5b9c43421d30,"Audran, Gérard",,MALE,,Q707239,128908467,template provider,
766bf48a-4f99-48f2-ace8-050b4bc2fd26,"Mignard, Pierre",,MALE,,Q360010,11858233X,template provider,
246d6bbf-0216-4b62-b04d-348e2d25dc93,"Moretti, Joseph Pasqualini",,MALE,,,136418643,painter,
a2a30500-c7ed-11e9-91e0-9bbdba1c3ce9,"Cuvilliés, François de","Cuvilliés, François de, der Ältere;Cuvilliés, Jean François;DeCuvilliés, François (RAK alt);De Cuvilliés, François",MALE,,Q60739,118523104,architect;designer,
3fca2176-085d-46ca-a688-fea8ec547f00,"Rollenhagen, Gabriel",,MALE,,,118791028,template provider,
3a7b0cc6-2fdc-493c-89eb-4b45b060e059,"Borcht, Petrus van der",,MALE,,Q2094286,124331394,template provider,
0e6f1f10-eed3-45d5-af7e-4cc6bb66fc6f,"Schleinitz, Dietrich von",,MALE,,,,commissioner,
b9b8e971-6284-4ce6-ab80-5098d8df69cb,"August, Herzog von Sachsen-Weißenfels",,MALE,,Q680131,119025299,commissioner,
b64cc1bd-59af-4d1f-baca-a76196358e99,"Johann Adolf I., Herzog von Sachsen-Weißenfels",,MALE,,Q67779,104176865,architect;commissioner,
cee9b746-2180-4044-86bc-b4899f8d72a2,"Pitzler, Christoph",,MALE,,Q27860285,120032147,architect,
95701975-a774-4480-923f-af9a4d42fde1,"Böhme, Johann Heinrich","Böhm, Johann Heinrich",MALE,,Q94797598,135552192,architect;sculptor,
ea67c245-4885-4612-a3e2-267887e2084c,"Caroveri, Giovanni",,MALE,,,,plasterer,
7ea82ad1-b69f-46ae-b863-b2c23c34ebdd,"Kaltental, Georg Christoph von",,MALE,,,,commissioner,
56e75089-99c9-49ee-86d1-8993d6cb5198,"Oswald, Patritius","Patritius, Rottenbuch, Abt;Patritius, von Rottenbuch;Oswald, Georg (Früherer Name)",MALE,,Q26988730,130219355,commissioner,
53804dc1-145a-4c45-9a6f-d8d0abc34a4f,"Kaltental, Burkhard II. von",,MALE,,,,commissioner,
626779f5-a6be-48b9-9d75-e1b8c8a44525,"Erler, Franz Anton","Ehrler, Franz Anton;Irrler, Franz Anton;Öhrler, Franz Anton",MALE,,Q55901316,133517381,painter,
1b0103b0-c58e-11e9-9a28-879a4ed5a2e2,"Augusta, Braunschweig-Lüneburg, Herzogin",,FEMALE,,Q238458,133498050,commissioner,
016297d0-c58d-11e9-9a28-879a4ed5a2e2,"Karl Wilhelm Ferdinand, Braunschweig-Wolfenbüttel, Herzog","Karl Wilhelm Ferdinand, Braunschweig-Lüneburg, Herzog",MALE,,Q58773,11913988X,commissioner,
5ea40960-c58d-11e9-9a28-879a4ed5a2e2,"Langwagen, Christian Gottlob",,MALE,,Q1079997,1034941445,architect,
36911850-c58d-11e9-9a28-879a4ed5a2e2,"Fleischer, Karl Christoph Wilhelm",,MALE,,Q1037344,124976425,architect,
1a7d2780-c5ab-11e9-b229-6b499a37f581,"Wilhelm, Braunschweig-Lüneburg, Herzog",,MALE,,Q62667,120746921,commissioner,
ff359a20-c596-11e9-9b89-139a7d3e65b8,"Querfurt, Tobias, der Ältere",,MALE,,Q2437964,116318090,painter,
5cd021d0-6e04-11ea-abfa-a5e9beee4aba,"Lauterbach, Johann Balthasar",,MALE,,Q1692492,119263637,architect,
7932faf1-656c-4684-b099-d01f19f82314,"Luhn, Joachim",,MALE,,Q16672426,129784605,painter,
f304982a-87b7-4278-aec8-e2b8c2612256,"Michel, Johann C.",,MALE,,,,plasterer,
940a41e1-7c06-4e62-b97a-4db31fedd717,"Güldner, Johann Michael",,MALE,,,,plasterer,
5824eba4-ea0c-471f-bfd1-31ab684dd591,"Brühl, Johann Nikolaus",,MALE,,,,painter;plasterer,
6cdbc51d-ea1f-41d4-bcb0-3bb782c8533e,"Deyssinger, Johann Leopold","Deisinger, Johann Lorenz",MALE,,,137997043,painter,
e477371a-d961-456c-bab2-9156e785e0a7,"Straßburger, August Friedrich",,MALE,,Q118312791,1056133716,construction manager,
9cb939ec-293c-4b99-9072-e65bca232437,"Feuerlein, Johann Peter",,MALE,,Q42180669,123325749,painter,
ed26f4b0-c7fc-11e9-b70b-d3ef6d0103b8,"Weißer, Katrina",,FEMALE,,,,author,
c6e57a6e-4350-45c8-8a15-e91673db1708,"Vischer, ?",,MALE,,,,painter,
be1a2c47-f62b-4101-aa5d-277c2e22d788,"Kreittmayr, Wiguläus Xaver Aloys von",,MALE,,,118566520,owner,
d9432972-1e17-4f0f-8fa9-9a8d82bdf5cd,"Notthafft von Weißenstein, Maximilian Cajetan (1732-1794)",,MALE,,,,architect;commissioner,
bf2814eb-e9c8-43df-9b8d-063d08dddaa1,"Notthafft von Weißenstein, Johann Sebastian",,MALE,,,128724846,commissioner,
4ef165c2-b80f-4d1b-8d4c-ec8163917bc1,"Notthafft von Weißenstein, Georg Christian Cajetan Ferdinand",,MALE,,,,commissioner,
5719620a-6726-4e5c-9b47-e14758641afb,"Werthern, Georg von",,MALE,,Q9267209,120632942,commissioner,
339fb6c0-e63c-4880-ad29-f3c466204f07,"Hoyer, Erich",,MALE,,Q28085218,103490714X,commissioner,
